Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
10,2,Central New York,23-1022,"Arbitrators, Mediators, and Conciliators",,99920,105770,58740,120510
10,2,Central New York,23-1023,"Judges, Magistrate Judges, and Magistrates",250,150010,177330,77010,186510
10,2,Central New York,23-2011,Paralegals and Legal Assistants,740,49400,48310,31420,58390
10,2,Central New York,23-2093,"Title Examiners, Abstractors, and Searchers",60,48700,48130,34900,55600
10,2,Central New York,23-2099,"Legal Support Workers, All Other",,66050,60140,43090,77530
10,2,Central New York,25-0000,"Education, Training, and Library Occupations",27250,68110,64500,35680,84320
10,2,Central New York,25-1011,"Business Teachers, Postsecondary",440,109520,102110,59300,134620
10,2,Central New York,25-1021,"Computer Science Teachers, Postsecondary",250,93520,82370,54210,113170
10,2,Central New York,25-1022,"Mathematical Science Teachers, Postsecondary",190,95670,84540,53420,116800
10,2,Central New York,25-1031,"Architecture Teachers, Postsecondary",,104750,102910,75380,119440
10,2,Central New York,25-1032,"Engineering Teachers, Postsecondary",190,113440,102910,69520,135400
10,2,Central New York,25-1042,"Biological Science Teachers, Postsecondary",220,93230,85050,57890,110900
10,2,Central New York,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",80,97050,82010,57640,116750
10,2,Central New York,25-1052,"Chemistry Teachers, Postsecondary",90,86280,80710,58200,100330
10,2,Central New York,25-1053,"Environmental Science Teachers, Postsecondary",,83260,66300,60030,94870
10,2,Central New York,25-1054,"Physics Teachers, Postsecondary",80,98010,85050,65340,114340
10,2,Central New York,25-1061,"Anthropology and Archeology Teachers, Postsecondary",,104010,102910,70250,120890
10,2,Central New York,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",70,110160,102110,69380,130550
10,2,Central New York,25-1063,"Economics Teachers, Postsecondary",100,120530,105930,72110,144740
10,2,Central New York,25-1065,"Political Science Teachers, Postsecondary",,113840,102910,65030,138250
10,2,Central New York,25-1066,"Psychology Teachers, Postsecondary",140,83650,80250,53440,98760
10,2,Central New York,25-1067,"Sociology Teachers, Postsecondary",80,88940,84540,59820,103510
10,2,Central New York,25-1069,"Social Sciences Teachers, Postsecondary, All Other",170,91390,81910,57510,108320
10,2,Central New York,25-1071,"Health Specialties Teachers, Postsecondary",1660,87050,66860,55520,102810
10,2,Central New York,25-1072,"Nursing Instructors and Teachers, Postsecondary",180,90070,84540,57440,106380
10,2,Central New York,25-1081,"Education Teachers, Postsecondary",250,73110,66310,44920,87210
10,2,Central New York,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",70,73090,65960,47380,85950
10,2,Central New York,25-1112,"Law Teachers, Postsecondary",,116230,102910,50700,148990
10,2,Central New York,25-1113,"Social Work Teachers, Postsecondary",,82790,80250,64270,92040
10,2,Central New York,25-1121,"Art, Drama, and Music Teachers, Postsecondary",630,94690,79750,55760,114150
10,2,Central New York,25-1122,"Communications Teachers, Postsecondary",,85820,80250,57350,100050
10,2,Central New York,25-1123,"English Language and Literature Teachers, Postsecondary",360,81900,80250,47830,98930
10,2,Central New York,25-1124,"Foreign Language and Literature Teachers, Postsecondary",140,79160,80250,52570,92460
10,2,Central New York,25-1125,"History Teachers, Postsecondary",110,84360,82370,51980,100550
10,2,Central New York,25-1126,"Philosophy and Religion Teachers, Postsecondary",110,101840,102010,61300,122120
10,2,Central New York,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",90,77230,66310,51790,89950
10,2,Central New York,25-1194,"Vocational Education Teachers, Postsecondary",200,82200,67940,47020,99790
10,2,Central New York,25-1199,"Postsecondary Teachers, All Other",80,86720,66310,44620,107780
10,2,Central New York,25-2011,"Preschool Teachers, Except Special Education",710,39730,31520,29410,44890
10,2,Central New York,25-2012,"Kindergarten Teachers, Except Special Education",240,70440,64690,52030,79650
10,2,Central New York,25-2021,"Elementary School Teachers, Except Special Education",3570,72800,65500,53450,82470
10,2,Central New York,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1860,79540,80360,60150,89230
10,2,Central New York,25-2023,"Career/Technical  Education Teachers, Middle School",100,72040,66780,53980,81070
10,2,Central New York,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",3140,76900,79860,57190,86760
10,2,Central New York,25-2032,"Career/Technical Education Teachers, Secondary School",310,78270,79820,60610,87100
10,2,Central New York,25-2051,"Special Education Teachers, Preschool",90,61190,51370,40390,71600
10,2,Central New York,25-2052,"Special Education Teachers, Kindergarten and Elementary School",630,74820,64690,59450,82500
10,2,Central New York,25-2057,"Special Education Teachers, Middle School",280,75140,78750,59060,83180
10,2,Central New York,25-2058,"Special Education Teachers, Secondary School",550,77850,80360,59100,87230
10,2,Central New York,25-2059,"Special Education Teachers, All Other",,64680,68240,47430,73300
10,2,Central New York,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,120,65170,63950,52320,71600
10,2,Central New York,25-3021,Self-Enrichment Education Teachers,550,55280,49470,32020,66920
10,2,Central New York,25-3031,"Substitute Teachers, Short-Term",1300,36350,30830,29350,39850
10,2,Central New York,25-3041,Tutors,320,56140,48520,30150,69130
10,2,Central New York,25-3099,"Teachers and Instructors, All Other",,71480,65650,49680,82370
10,2,Central New York,25-4011,Archivists,,64150,54880,39340,76560
10,2,Central New York,25-4012,Curators,,56060,49490,38600,64790
10,2,Central New York,25-4013,Museum Technicians and Conservators,,40520,39260,27456,47210
10,2,Central New York,25-4022,Librarians and Media Collections Specialists,480,65910,64340,46660,75530
10,2,Central New York,25-4031,Library Technicians,190,42160,39630,29010,48740
10,2,Central New York,25-9031,Instructional Coordinators,660,77380,79360,50510,90820
10,2,Central New York,25-9044,"Teaching Assistants, Postsecondary",750,51050,49640,35710,58720
10,2,Central New York,25-9045,"Teaching Assistants, Except Postsecondary",4460,33620,29910,27860,36510
10,2,Central New York,25-9099,"Education, Training, and Library Workers, All Other",,68460,67110,47920,78730
10,2,Central New York,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",3540,66660,51740,34090,82940
10,2,Central New York,27-1011,Art Directors,80,111830,103140,58620,138430
10,2,Central New York,27-1014,Multimedia Artists and Animators,,82340,83460,58300,94350
10,2,Central New York,27-1021,Commercial and Industrial Designers,100,76390,68600,48810,90180
10,2,Central New York,27-1022,Fashion Designers,50,73340,68580,39750,90130
10,2,Central New York,27-1023,Floral Designers,70,36990,31490,29970,40500
10,2,Central New York,27-1024,Graphic Designers,390,57470,51120,37540,67430
10,2,Central New York,27-1025,Interior Designers,110,74900,62550,39820,92440
10,2,Central New York,27-1026,Merchandise Displayers and Window Trimmers,300,37920,31680,30170,41790
10,2,Central New York,27-2012,Producers and Directors,230,71620,63100,37880,88500
10,2,Central New York,27-2022,Coaches and Scouts,570,59710,50130,33610,72750
10,2,Central New York,27-3011,Radio and Television Announcers,50,49390,37040,29040,59560
10,2,Central New York,27-3031,Public Relations Specialists,460,69510,64450,43620,82460
10,2,Central New York,27-3042,Technical Writers,70,79810,80280,56430,91500
10,2,Central New York,27-3043,Writers and Authors,80,77120,64060,44270,93540
10,2,Central New York,27-3091,Interpreters and Translators,,67510,48840,33290,84620
10,2,Central New York,27-3092,Court Reporters and Simultaneous Captioners,,90280,83240,62070,104390
10,2,Central New York,27-4011,Audio and Video Equipment Technicians,80,55100,51260,36660,64320
10,2,Central New York,27-4012,Broadcast Technicians,50,50110,40210,28550,60890
10,2,Central New York,27-4021,Photographers,80,49450,39850,33090,57630
10,2,Central New York,27-4031,"Camera Operators, Television, Video, and Motion Picture",,51800,50610,33650,60870
10,2,Central New York,27-4099,"Media and Communication Equipment Workers, All Other",,67790,66970,46060,78660
10,2,Central New York,29-0000,Healthcare Practitioners and Technical Occupations,23270,88980,69630,46650,110150
10,2,Central New York,29-1011,Chiropractors,,117080,77670,62950,144150
10,2,Central New York,29-1021,"Dentists, General",380,182520,171960,101820,222870
10,2,Central New York,29-1029,"Dentists, All Other Specialists",,193810,195660,111150,235130
10,2,Central New York,29-1031,Dietitians and Nutritionists,230,64930,62930,47610,73580
10,2,Central New York,29-1041,Optometrists,100,133110,128630,98830,150250
10,2,Central New York,29-1051,Pharmacists,670,128890,132580,98040,144310
10,2,Central New York,29-1071,Physician Assistants,560,120780,112070,92410,134960
10,2,Central New York,29-1081,Podiatrists,,141830,113330,66350,179580
10,2,Central New York,29-1122,Occupational Therapists,390,80510,80760,59780,90880
10,2,Central New York,29-1123,Physical Therapists,700,86590,81950,65350,97220
10,2,Central New York,29-1124,Radiation Therapists,,78450,80250,62240,86550
10,2,Central New York,29-1125,Recreational Therapists,90,55910,49530,45620,61050
10,2,Central New York,29-1126,Respiratory Therapists,280,73930,68370,56280,82760
10,2,Central New York,29-1127,Speech-Language Pathologists,490,82150,81190,59170,93630
10,2,Central New York,29-1129,"Therapists, All Other",,49540,39470,37770,55420
10,2,Central New York,29-1131,Veterinarians,170,117510,106630,75300,138620
10,2,Central New York,29-1141,Registered Nurses,8500,77700,78090,58960,87070
10,2,Central New York,29-1151,Nurse Anesthetists,80,214940,,187630,
10,2,Central New York,29-1161,Nurse Midwives,,120380,102910,96190,132470
10,2,Central New York,29-1171,Nurse Practitioners,780,120300,109510,92530,134190
10,2,Central New York,29-1181,Audiologists,,90590,84070,67100,102340
10,2,Central New York,29-1214,Emergency Medicine Physicians,60,319370,,161310,
10,2,Central New York,29-1215,Family Medicine Physicians,160,277040,,140030,345540
10,2,Central New York,29-1216,General Internal Medicine Physicians,210,223350,,77220,296420
10,2,Central New York,29-1218,Obstetricians and Gynecologists,80,357900,,257300,
10,2,Central New York,29-1221,"Pediatricians, General",60,185200,172840,98420,228590
10,2,Central New York,29-1222,"Physicians, Pathologists",50,320100,,194770,
10,2,Central New York,29-1223,Psychiatrists,70,243190,,94640,317470
10,2,Central New York,29-1229,"Physicians, All Other",490,204570,,63720,274990
10,2,Central New York,29-1241,"Ophthalmologists, Except Pediatric",,223870,174960,143970,263820
10,2,Central New York,29-1242,"Orthopedic Surgeons, Except Pediatric",60,371380,,279720,
10,2,Central New York,29-1249,"Surgeons, All Other",70,321310,,160150,
10,2,Central New York,29-1292,Dental Hygienists,470,75230,79930,61210,82240
10,2,Central New York,29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",60,80530,73670,57470,92060
10,2,Central New York,29-2010,Clinical Laboratory Technologists and Technicians,610,68790,66510,50150,78110
10,2,Central New York,29-2031,Cardiovascular Technologists and Technicians,100,57990,53120,35440,69260
10,2,Central New York,29-2032,Diagnostic Medical Sonographers,220,80780,80590,64950,88700
10,2,Central New York,29-2033,Nuclear Medicine Technologists,,89840,86050,77810,95860
10,2,Central New York,29-2034,Radiologic Technologists,620,69940,66690,53710,78050
10,2,Central New York,29-2035,Magnetic Resonance Imaging Technologists,70,86500,84220,72740,93380
10,2,Central New York,29-2042,Emergency Medical Technicians,430,34660,30780,30070,36960
10,2,Central New York,29-2043,Paramedics,320,51260,49640,44700,54540
10,2,Central New York,29-2051,Dietetic Technicians,60,41360,39870,32190,45940
10,2,Central New York,29-2052,Pharmacy Technicians,860,36360,31440,29920,39580
10,2,Central New York,29-2053,Psychiatric Technicians,70,34860,30730,30250,37160
10,2,Central New York,29-2055,Surgical Technologists,230,53550,49530,44690,57990
10,2,Central New York,29-2056,Veterinary Technologists and Technicians,210,42260,39080,33470,46660
10,2,Central New York,29-2057,Ophthalmic Medical Technicians,170,45740,48760,37480,49870
10,2,Central New York,29-2061,Licensed Practical and Licensed Vocational Nurses,2550,49650,48870,43000,52980
10,2,Central New York,29-2072,Medical Records Specialists,320,49010,48580,35860,55580
10,2,Central New York,29-2081,"Opticians, Dispensing",200,55780,60170,44060,61630
10,2,Central New York,29-2091,Orthotists and Prosthetists,,64750,64210,38480,77880
10,2,Central New York,29-2092,Hearing Aid Specialists,,82190,50230,45410,100570
10,2,Central New York,29-2099,"Health Technologists and Technicians, All Other",270,54660,41250,35930,64020
10,2,Central New York,29-9021,Health Information Technologists and Medical Registrars,,76890,80270,49450,90600
10,2,Central New York,29-9091,Athletic Trainers,60,64030,61200,47220,72440
10,2,Central New York,29-9093,Surgical Assistants,,50830,52810,35560,58460
10,2,Central New York,29-9099,"Healthcare Practitioners and Technical Workers, All Other",,45670,32650,30140,53440
10,2,Central New York,31-0000,Healthcare Support Occupations,14460,36870,32210,30120,40250
10,2,Central New York,31-1120,Home Health & Personal Care Aides,7450,34930,31280,29550,37610
10,2,Central New York,31-1131,Nursing Assistants,3550,36150,32790,31020,38710
10,2,Central New York,31-1132,Orderlies,110,37540,32780,29520,41550
10,2,Central New York,31-1133,Psychiatric Aides,190,44450,40660,39640,46860
10,2,Central New York,31-2011,Occupational Therapy Assistants,90,55510,51850,44260,61140
10,2,Central New York,31-2021,Physical Therapist Assistants,200,57200,53010,45130,63230
10,2,Central New York,31-2022,Physical Therapist Aides,60,33480,30530,27940,36250
10,2,Central New York,31-9011,Massage Therapists,60,47040,42660,29540,55790
10,2,Central New York,31-9091,Dental Assistants,820,42890,40040,34740,46970
10,2,Central New York,31-9092,Medical Assistants,890,40330,39600,31720,44630
10,2,Central New York,31-9093,Medical Equipment Preparers,230,42010,40920,34490,45770
10,2,Central New York,31-9094,Medical Transcriptionists,110,35540,33270,27720,39460
10,2,Central New York,31-9095,Pharmacy Aides,200,33850,30990,30070,35750
10,2,Central New York,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,180,33540,31090,30180,35220
10,2,Central New York,31-9097,Phlebotomists,210,39890,40530,32200,43730
10,2,Central New York,31-9099,"Healthcare Support Workers, All Other",100,47800,47350,34920,54250
10,2,Central New York,33-0000,Protective Service Occupations,7880,62260,63890,35360,75710
10,2,Central New York,33-1011,First-Line Supervisors of Correctional Officers,150,85680,82850,69700,93670
10,2,Central New York,33-1012,First-Line Supervisors of Police and Detectives,340,99010,88290,80490,108280
10,2,Central New York,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,170,94690,86920,83540,100260
10,2,Central New York,33-1091,First-Line Supervisors of Security Workers,110,74590,67160,42550,90610
10,2,Central New York,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",60,69420,66150,48680,79790
10,2,Central New York,33-2011,Firefighters,430,74230,81290,59400,81640
10,2,Central New York,33-2021,Fire Inspectors and Investigators,50,58400,55530,42310,66450
10,2,Central New York,33-3011,Bailiffs,90,69240,65830,51530,78090
10,2,Central New York,33-3012,Correctional Officers and Jailers,1320,65990,65250,52860,72550
10,2,Central New York,33-3021,Detectives and Criminal Investigators,300,91530,86220,60380,107100
10,2,Central New York,33-3041,Parking Enforcement Workers,,44800,42390,41720,46350
10,2,Central New York,33-3051,Police and Sheriff's Patrol Officers,1630,74500,82140,53450,85020
10,2,Central New York,33-9011,Animal Control Workers,80,49500,43140,36460,56020
10,2,Central New York,33-9021,Private Detectives and Investigators,50,57860,54080,51790,60890
10,2,Central New York,33-9032,Security Guards,2030,45750,39550,30920,53170
10,2,Central New York,33-9091,Crossing Guards,170,35240,33580,28710,38500
10,2,Central New York,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service",250,31250,30980,28020,32860
10,2,Central New York,33-9093,Transportation Security Screeners,80,46130,44080,40760,48820
10,2,Central New York,33-9094,School Bus Monitors,500,34850,31140,28920,37820
10,2,Central New York,33-9099,"Protective Service Workers, All Other",,41580,41970,32190,46280
10,2,Central New York,35-0000,Food Preparation and Serving Related Occupations,25130,36290,31340,29050,39910
10,2,Central New York,35-1011,Chefs and Head Cooks,410,58790,52620,42780,66800
10,2,Central New York,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,2290,45170,39910,32720,51400
10,2,Central New York,35-2011,"Cooks, Fast Food",530,32190,30190,29060,33760
10,2,Central New York,35-2012,"Cooks, Institution and Cafeteria",640,39640,38610,30530,44190
10,2,Central New York,35-2014,"Cooks, Restaurant",2200,35180,32410,30080,37730
10,2,Central New York,35-2015,"Cooks, Short Order",330,36440,35140,30550,39380
10,2,Central New York,35-2019,"Cooks, All Other",,40270,41130,30220,45290
10,2,Central New York,35-2021,Food Preparation Workers,1540,32870,31130,28520,35040
10,2,Central New York,35-3011,Bartenders,1030,42930,34530,29090,49850
10,2,Central New York,35-3023,Fast Food and Counter Workers,8730,31270,30710,28950,32430
10,2,Central New York,35-3031,Waiters and Waitresses,3380,44370,32380,28740,52180
10,2,Central New York,35-3041,"Food Servers, Nonrestaurant",880,31880,30530,28550,33540
10,2,Central New York,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1400,35530,31290,28340,39120
10,2,Central New York,35-9021,Dishwashers,1020,31700,30140,28730,33180
10,2,Central New York,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",630,32550,30500,28210,34720
10,2,Central New York,35-9099,"Food Preparation and Serving Related Workers, All Other",100,32110,29420,27720,34310
10,2,Central New York,37-0000,Building and Grounds Cleaning and Maintenance Occupations,10340,36730,31970,29160,40520
10,2,Central New York,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,290,49510,49280,34360,57080
10,2,Central New York,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",250,58670,52450,44150,65930
10,2,Central New York,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",6020,34760,31490,28730,37770
10,2,Central New York,37-2012,Maids and Housekeeping Cleaners,1420,34350,31770,29170,36940
10,2,Central New York,37-2021,Pest Control Workers,70,41450,40450,32870,45730
10,2,Central New York,37-3011,Landscaping and Groundskeeping Workers,2020,38340,33350,30320,42340
10,2,Central New York,37-3013,Tree Trimmers and Pruners,170,51670,50020,45820,54600
10,2,Central New York,37-3019,"Grounds Maintenance Workers, All Other",90,34910,31750,27720,38510
10,2,Central New York,39-0000,Personal Care and Service Occupations,5220,36710,30930,28350,40890
10,2,Central New York,39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",,50030,48820,36880,56600
10,2,Central New York,39-1022,First-Line Supervisors of Personal Service Workers,260,50860,50250,34960,58810
10,2,Central New York,39-2011,Animal Trainers,,43830,50150,29160,51170
10,2,Central New York,39-2021,Nonfarm Animal Caretakers,460,34450,31210,28960,37190
10,2,Central New York,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",270,30740,30530,29750,31230
10,2,Central New York,39-3091,Amusement and Recreation Attendants,430,31110,29660,27720,32800
10,2,Central New York,39-4031,"Morticians, Undertakers, and Funeral Directors",80,68920,52360,45660,80540
10,2,Central New York,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",420,37460,30790,29020,41680
10,2,Central New York,39-5092,Manicurists and Pedicurists,400,28870,28550,27720,29450
10,2,Central New York,39-5094,Skincare Specialists,,37320,35730,29290,41340
10,2,Central New York,39-6012,Concierges,60,45340,48450,31660,52170
10,2,Central New York,39-7010,Tour and Travel Guides,,31330,30660,27730,33130
10,2,Central New York,39-9011,Childcare Workers,1330,31240,30040,27860,32920
10,2,Central New York,39-9031,Fitness Trainers and Aerobics Instructors,540,49460,40850,30170,59100
10,2,Central New York,39-9032,Recreation Workers,450,36890,31720,28750,40950
10,2,Central New York,39-9041,Residential Advisors,270,39140,39710,30080,43670
10,2,Central New York,41-0000,Sales and Related Occupations,29980,46880,31040,28550,56040
10,2,Central New York,41-1011,First-Line Supervisors of Retail Sales Workers,2710,51060,40260,32630,60280
10,2,Central New York,41-1012,First-Line Supervisors of Non-Retail Sales Workers,590,100010,92870,62150,118940
10,2,Central New York,41-2011,Cashiers,8210,29790,29610,27490,30940
10,2,Central New York,41-2021,Counter and Rental Clerks,780,35860,32010,29350,39110
10,2,Central New York,41-2022,Parts Salespersons,810,40810,38530,29990,46220
10,2,Central New York,41-2031,Retail Salespersons,8960,35010,30360,28270,38380
10,2,Central New York,41-3011,Advertising Sales Agents,160,68260,51790,33220,85780
10,2,Central New York,41-3021,Insurance Sales Agents,880,86780,65190,45190,107570
10,2,Central New York,41-3031,"Securities, Commodities, and Financial Services Sales Agents",670,92400,80180,43090,117050
10,2,Central New York,41-3041,Travel Agents,,40870,39090,30220,46200
10,2,Central New York,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1930,72260,64380,38900,88930
10,2,Central New York,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",310,116010,103340,63260,142390
10,2,Central New York,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",2930,71540,63600,40240,87200
10,2,Central New York,41-9011,Demonstrators and Product Promoters,90,34000,30920,30040,35980
10,2,Central New York,41-9021,Real Estate Brokers,80,62800,53630,36450,75980
10,2,Central New York,41-9022,Real Estate Sales Agents,150,69980,64080,42670,83640
10,2,Central New York,41-9031,Sales Engineers,150,95950,85010,53550,117150
10,2,Central New York,41-9041,Telemarketers,100,31950,30380,29650,33110
10,2,Central New York,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",,32230,27456,27456,34800
10,2,Central New York,41-9099,"Sales and Related Workers, All Other",,38190,37560,30270,42150
10,2,Central New York,43-0000,Office and Administrative Support Occupations,44150,46170,39900,31980,53260
10,2,Central New York,43-1011,First-Line Supervisors of Office and Administrative Support Workers,2860,68980,63800,44840,81040
10,2,Central New York,43-2011,"Switchboard Operators, Including Answering Service",70,36130,32810,29240,39580
10,2,Central New York,43-3011,Bill and Account Collectors,410,45920,48270,34820,51460
10,2,Central New York,43-3021,Billing and Posting Clerks,1630,42380,39400,33980,46580
10,2,Central New York,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",3340,46140,47520,33300,52570
10,2,Central New York,43-3051,Payroll and Timekeeping Clerks,350,50420,49370,39130,56070
10,2,Central New York,43-3061,Procurement Clerks,120,46090,42260,38460,49910
10,2,Central New York,43-3071,Tellers,840,36090,38390,30490,38900
10,2,Central New York,43-3099,"Financial Clerks, All Other",110,44350,40480,33550,49750
10,2,Central New York,43-4011,Brokerage Clerks,80,57300,57270,46050,62920
10,2,Central New York,43-4031,"Court, Municipal, and License Clerks",480,48050,39450,34560,54790
10,2,Central New York,43-4041,"Credit Authorizers, Checkers, and Clerks",,53880,53060,36300,62670
10,2,Central New York,43-4051,Customer Service Representatives,5390,42920,39180,30480,49150
10,2,Central New York,43-4061,"Eligibility Interviewers, Government Programs",400,51290,48960,43430,55220
10,2,Central New York,43-4071,File Clerks,130,39450,38090,29840,44260
10,2,Central New York,43-4081,"Hotel, Motel, and Resort Desk Clerks",340,33970,30140,28500,36700
10,2,Central New York,43-4111,"Interviewers, Except Eligibility and Loan",380,40560,39400,31880,44910
10,2,Central New York,43-4121,"Library Assistants, Clerical",390,32970,30130,28120,35390
10,2,Central New York,43-4131,Loan Interviewers and Clerks,220,51230,49550,37530,58080
10,2,Central New York,43-4141,New Accounts Clerks,190,43370,40250,37310,46390
10,2,Central New York,43-4151,Order Clerks,100,38860,38750,29780,43390
10,2,Central New York,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",280,48310,48840,36780,54070
10,2,Central New York,43-4171,Receptionists and Information Clerks,2220,35610,32010,29340,38740
10,2,Central New York,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,70,44550,38270,29880,51880
10,2,Central New York,43-4199,"Information and Record Clerks, All Other",130,46750,47720,35510,52370
10,2,Central New York,43-5011,Cargo and Freight Agents,90,52430,49880,38320,59490
10,2,Central New York,43-5021,Couriers and Messengers,180,34450,31190,29090,37130
10,2,Central New York,43-5031,"Police, Fire, and Ambulance Dispatchers",270,51980,50310,40720,57600
10,2,Central New York,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",530,44980,39600,31880,51530
10,2,Central New York,43-5041,"Meter Readers, Utilities",50,59250,53560,40940,68400
10,2,Central New York,43-5051,Postal Service Clerks,270,52970,52310,41510,58700
10,2,Central New York,43-5052,Postal Service Mail Carriers,960,55380,51830,41310,62410
10,2,Central New York,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",440,51090,48380,39120,57080
10,2,Central New York,43-5061,"Production, Planning, and Expediting Clerks",1860,54500,49860,36400,63550
10,2,Central New York,43-5071,"Shipping, Receiving, and Traffic Clerks",1540,41060,38750,29920,46630
10,2,Central New York,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",110,44630,46750,32890,50500
10,2,Central New York,43-6011,Executive Secretaries and Executive Administrative Assistants,1910,72180,68540,54050,81240
10,2,Central New York,43-6012,Legal Secretaries,380,43580,38560,31710,49520
10,2,Central New York,43-6013,Medical Secretaries,1880,39370,38570,31530,43290
10,2,Central New York,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",6220,42810,39820,32190,48110
10,2,Central New York,43-9021,Data Entry Keyers,370,36170,32490,29100,39710
10,2,Central New York,43-9022,Word Processors and Typists,710,41080,39780,31400,45910
10,2,Central New York,43-9031,Desktop Publishers,,48040,40650,29490,57320
10,2,Central New York,43-9041,Insurance Claims and Policy Processing Clerks,350,52630,50180,39400,59240
10,2,Central New York,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",230,35370,31030,29330,38380
10,2,Central New York,43-9061,"Office Clerks, General",5000,40330,38650,29350,45830
10,2,Central New York,43-9071,"Office Machine Operators, Except Computer",110,36860,33600,28920,40830
10,2,Central New York,43-9081,Proofreaders and Copy Markers,,42740,42250,29750,49240
10,2,Central New York,43-9111,Statistical Assistants,,55000,48840,47290,58860
10,2,Central New York,43-9199,"Office and Administrative Support Workers, All Other",70,51120,48120,40740,56310
10,2,Central New York,45-0000,"Farming, Fishing, and Forestry Occupations",230,40590,36930,28910,46430
10,2,Central New York,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",,62410,64030,43460,71880
10,2,Central New York,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",90,33890,30370,28000,36830
10,2,Central New York,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,34390,29640,28640,37270
10,2,Central New York,45-4022,Logging Equipment Operators,,39560,37450,30570,44050
10,2,Central New York,47-0000,Construction and Extraction Occupations,12850,61750,50130,38010,73610
10,2,Central New York,47-1011,Supervisors of Construction and Extraction Workers,1010,81770,79930,56010,94650
10,2,Central New York,47-2021,Brickmasons and Blockmasons,180,66060,62480,44400,76880
10,2,Central New York,47-2031,Carpenters,1750,55790,50530,36740,65310
10,2,Central New York,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",60,50070,49580,42430,53890
10,2,Central New York,47-2044,Tile and Marble Setters,170,66900,50580,36910,81890
10,2,Central New York,47-2051,Cement Masons and Concrete Finishers,200,57510,50580,42790,64860
10,2,Central New York,47-2061,Construction Laborers,2000,51520,47890,34010,60280
10,2,Central New York,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",190,38970,38090,29930,43490
10,2,Central New York,47-2073,Operating Engineers and Other Construction Equipment Operators,770,69270,50440,44550,81630
10,2,Central New York,47-2081,Drywall and Ceiling Tile Installers,240,48850,48230,36260,55140
10,2,Central New York,47-2082,Tapers,50,68350,68380,48010,78530
10,2,Central New York,47-2111,Electricians,1350,85570,67640,45340,105690
10,2,Central New York,47-2121,Glaziers,,50580,49430,35650,58040
10,2,Central New York,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",50,41330,39500,32260,45870
10,2,Central New York,47-2132,"Insulation Workers, Mechanical",100,102510,131600,54970,126280
10,2,Central New York,47-2141,"Painters, Construction and Maintenance",450,48710,47830,34850,55640
10,2,Central New York,47-2151,Pipelayers,,62040,63100,52460,66830
10,2,Central New York,47-2152,"Plumbers, Pipefitters, and Steamfitters",1030,68550,65030,42010,81820
10,2,Central New York,47-2161,Plasterers and Stucco Masons,,47070,32680,30930,55140
10,2,Central New York,47-2181,Roofers,310,50460,49100,36770,57300
